condition,review_body,rating,sentiment
Benign Prostatic Hyperplasia,tamsulosin mg respons notic erectil ejaculatori dysfunct semen volum signific reduc addit medic provid increas urinari flow howev no notic effect decreas urinari frequenc observ possibl side effect notic increas flatul side effect mention great reduc hour ceas medic,5.0,Neutral
ADHD,medic come close help way regular adderal said go stick know work heard other swear adzeni wonder live think great like drug work one may rubbish anoth adzeni fair new drug market cours drs everywher go b push right work medic field seen drs promot med even crazi depend drug rep look like particular med go benefit write drug not say adzeni bad say work,3.0,Negative
Plaque Psoriasis,psoriasi sinc year old start use humira month ago look skin want cri joy gone psoriasi gone year peopl look weird think diseas look like person clear skin wonder want hug maker amaz medicin,10.0,Positive
Depression,take mgs month month ago went tough time sent mental hospit got told psych cut lexapro make fat keep go hospit within week start felt overwhelm sad progress point get bed would draw blind day sob psych vacat right take sad anymor restart lexapro within day feel much better grate,8.0,Positive
Parkinson's Disease,want share updat mom status hope inform help other mom sinemet five month still take tablet day one morn upon rise one earli afternoon one even no side effect awar last three week realli well start increas fatigu confus not terribl notic take neurologist two week see need small increas dose said current dose pill three time day low room increas gradual mobil still excel tremor bare,10.0,Positive
Pain,drug multipl use prescrib social anxieti replac clonazepam klonopin take sever year mild notic effect sort ground keep calm not drug way also help sleep sound give lower back break sort constant spectrum pain discomfort kind miracl drug way would suggest not drink one alcohol beverag take mg time might get littl loopi make dizzi want vomit like oxycontin percocet potenti abus exist opinion talk doctor treatment regimen,8.0,Positive
Endometriosis,first month spot month amaz less period mean less pain plus period light,9.0,Positive
Social Anxiety Disorde,drug month one peopl hate medic prefer natur altern doctor strong recommend give shot felt differ instant bodi would feel numb guess best way describ feel first two week temper short got angri everyth wors start medic absolut no sex drive medic take toll marriag ever sinc stop feel amaz stick yoga medit glad work peopl though,2.0,Negative
"Onychomycosis, Toenail",put jublia within day skin toe becam hard like shell peel skin toe took wks,1.0,Negative
Depression,medicin month depress anyth infact think made feel wors shake anxieti time cours depress ach,1.0,Negative
Smoking Cessation,guess one take chantix first week produc mild side effect ninth day stool turn black found due gastro intestin hemorrhag told stop take doctor also balanc disord episod last sever minut lucki not drive time find side effect list possibl chantix brochur,1.0,Negative
Paranoid Disorde,take risperidon month reliev panic fear irrat thought associ ptsd encount littl relief gain weight gain lbs month no chang eat habit voic concern doctor taken medic no withdraw effect month time lost lbs no exercis eat healthier low glycem index diet,4.0,Negative
Pain,oxycontin given life back take oxycontin month life live hell pain,10.0,Positive
Pain,origin prescrib foot injuri not one pain medicin reluct take awhil howev last coupl time taken night due bodi ach pain kill pain sleep fill vivid dream could not reach deep sleep woke headach hangov feel total drain throughout next day not worth opinion side effect experienc use caution,6.0,Neutral
Restless Legs Syndrome,suffer restless leg syndrom year tri requip made horribl sick stomach within minut take tri mirapex still major symptom came neupro wow could live chang qualiti life extrem patch stay well use paper tape keep whole hrs abl get reduc payment medicin month month day suppli insur would not cover,10.0,Positive
Hyperhidrosis,start use drysol year ago amaz sweat hand feet armpit gotten point appli twice month last long time without sweat glad found would recommend everyon work first time keep tri might eventu start work,9.0,Positive
Opiate Dependence,prescrib zuboxon insur cover zubsolv instead first time felt tremor told dr prescrib increas dosag got wors felt like trembl core along anxieti switch buprenorphin alon believ much improv recommend zubsolv,1.0,Negative
Acne,got recommend derm use treat acn liter burnt face skin feel like leather first day face start peel extrem bad burn much take not recommend,1.0,Negative
Depression,two year depress vanish hour,10.0,Positive
Birth Control,recent got form birthcontrol paragard pain reject bodi want go hormon side effect like weight gain take antidepress skeptic month asid spot love actual lose weight mood swing depress actual becom better side effect experianc spot alway tire rather take worri constant pregnant check string take pill everyday know spot subsid bodi becom accustom,10.0,Positive
Depression,terribl experi drug result regular panic attack heart palpit caus becom trap negat state paranoid not one review med often medic prove danger spent lot time state paranoia dr not listen kept state right end reduc dose condon though around month honest say much better abl function stay state paranoia etc also abl make clear choic etc,1.0,Negative
"Onychomycosis, Fingernail",second time use lamisil no problem first time within first day develop progress rash start feet leg arm trunk discontinu day,3.0,Negative
"Diabetes, Type 2",victoza year read review one lucki one side effect wise word no nausea increas headach etc start month move sinc time reduc adjunct metformin mg daili mg daili weight loss nice side effect especi sinc imping ill first place issu blood sugar go low quit easili cut back dose test run month unhealthi high level blood sugar thing past hope stay,10.0,Positive
Premenstrual Dysphoric Disorde,suffer premenstru dysphor disord year tri seasoniqu two year thought work everi time blood work done marker heart diseas chart strang no one could figur also gain lot weight stop take seasoniqu went mg zoloft take day menstruat chang life felt like abandon entir life felt guilti enjoy children abl get perspect thing rage abl manag pmdd would recommend anyon suffer thing take blood work normal,8.0,Positive
